metric,sector,value,denominator,unit,note
businesses_contacted,All sectors,273,,count,
businesses_contacted,Commercial cleaning,55,,count,
businesses_contacted,Family law,51,,count,
businesses_contacted,Mortgage and lending,55,,count,
businesses_contacted,Trades,56,,count,
businesses_contacted,Dental and aesthetic,56,,count,
no_working_web_form,All sectors,56,273,count,20.5 percent
no_working_web_form,Commercial cleaning,5,55,count,9.1 percent
no_working_web_form,Family law,4,51,count,7.8 percent
no_working_web_form,Mortgage and lending,15,55,count,27.3 percent
no_working_web_form,Trades,8,56,count,14.3 percent
no_working_web_form,Dental and aesthetic,24,56,count,42.9 percent
enquiries_delivered,All sectors,211,273,count,6 excluded where delivery could not be established
enquiries_delivered,Commercial cleaning,46,55,count,
enquiries_delivered,Family law,47,51,count,
enquiries_delivered,Mortgage and lending,40,55,count,
enquiries_delivered,Trades,47,56,count,
enquiries_delivered,Dental and aesthetic,31,56,count,
any_response_72h,All sectors,63,211,count,29.9 percent
any_response_72h,Commercial cleaning,19,46,count,41.3 percent
any_response_72h,Family law,17,47,count,36.2 percent
any_response_72h,Mortgage and lending,6,40,count,15.0 percent
any_response_72h,Trades,14,47,count,29.8 percent
any_response_72h,Dental and aesthetic,7,31,count,22.6 percent
human_response_72h,All sectors,45,211,count,21.3 percent
human_response_72h,Commercial cleaning,14,46,count,30.4 percent
human_response_72h,Family law,14,47,count,29.8 percent
human_response_72h,Mortgage and lending,1,40,count,2.5 percent
human_response_72h,Trades,11,47,count,23.4 percent
human_response_72h,Dental and aesthetic,5,31,count,16.1 percent
automated_ack_only_72h,All sectors,18,211,count,8.5 percent
no_response_72h,All sectors,148,211,count,70.1 percent
median_time_to_first_response,All sectors,5.1,58,hours,across timed responses
median_time_to_first_response_human_only,All sectors,8.8,42,hours,
fastest_human_response,All sectors,7,,minutes,
slowest_human_response,All sectors,56.0,,hours,
ttfr_under_5_min,All sectors,10,58,count,almost all automated acknowledgements
ttfr_5_to_15_min,All sectors,3,58,count,
ttfr_15_min_to_1_hour,All sectors,9,58,count,
ttfr_1_to_4_hours,All sectors,6,58,count,
ttfr_4_to_24_hours,All sectors,18,58,count,
ttfr_24_to_48_hours,All sectors,9,58,count,
ttfr_48_to_72_hours,All sectors,1,58,count,
ttfr_after_72_hours,All sectors,2,58,count,outside the observation window
any_response_sent_out_of_hours,All sectors,24,121,count,19.8 percent
any_response_sent_in_hours,All sectors,16,46,count,34.8 percent
response_channel_email,All sectors,56,,count,of all logged first responses
response_channel_sms,All sectors,8,,count,includes one email and SMS together
